City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
162,Padilla,CO,3.2204,-76.3139,71.17,94,95,2.24,overcast clouds
163,Chokurdakh,RU,70.6333,147.9167,16.23,89,100,11.16,overcast clouds
164,Cache Creek,CA,50.8101,-121.3246,45.91,67,96,1.68,overcast clouds
165,Thinadhoo,MV,0.5333,72.9333,84.33,72,88,3.94,overcast clouds
166,Alexandria,EG,31.2156,29.9553,60.76,82,0,4.61,clear sky
167,Sao Borja,BR,-28.6606,-56.0044,81.95,76,95,13.56,overcast clouds
168,Pincher Creek,CA,49.4833,-113.952,41.16,52,20,31.07,few clouds
169,Ulaangom,MN,49.9811,92.0667,46.06,19,100,5.39,overcast clouds
170,Maldonado,UY,-34.6667,-54.9167,75.22,90,71,20.04,broken clouds
171,Progreso,MX,21.2833,-89.6667,79.11,81,39,14.09,scattered clouds
172,Cayenne,GF,4.9333,-52.3333,81.09,1,75,1.14,broken clouds
173,Gorontalo,ID,0.5412,123.0595,81.23,90,100,1.59,overcast clouds
174,Umm Lajj,SA,25.0213,37.2685,80.83,42,72,3.38,broken clouds
175,Pak Phanang,TH,8.3511,100.202,93.22,67,100,5.41,overcast clouds
176,Chuy,UY,-33.6971,-53.4616,69.33,93,100,15.66,overcast clouds
177,Sitka,US,57.0531,-135.33,43.66,81,58,4.12,broken clouds
178,Kailua,US,21.4022,-157.7394,80.02,77,40,4.0,scattered clouds
179,Ponta Do Sol,PT,32.6667,-17.1,61.43,66,0,2.46,clear sky
180,Champerico,GT,14.3,-91.9167,84.02,71,44,7.61,scattered clouds
181,Bubaque,GW,11.2833,-15.8333,79.02,71,13,4.27,few clouds
182,Sibolga,ID,1.7427,98.7792,86.92,64,93,4.29,overcast clouds
183,Geraldton,AU,-28.7667,114.6,70.21,64,100,18.41,overcast clouds
184,Springbok,ZA,-29.6643,17.8865,53.56,27,0,11.63,clear sky
185,Kavaratti,IN,10.5669,72.642,85.05,72,18,4.54,few clouds
186,Talnakh,RU,69.4865,88.3972,22.21,88,99,12.48,overcast clouds
187,Boyolangu,ID,-8.1181,111.8935,86.0,69,100,2.04,overcast clouds
188,Collierville,US,35.042,-89.6645,50.09,68,0,3.44,clear sky
189,Arlit,NE,18.7369,7.3853,76.37,15,0,7.16,clear sky
190,Pohrebyshche,UA,49.4864,29.2636,43.48,90,7,6.06,clear sky
191,Adrar,MR,20.5022,-10.0711,66.83,41,0,11.45,clear sky
192,Kloulklubed,PW,7.0419,134.2556,77.5,78,100,10.8,light rain
193,Santo Domingo,DO,18.5001,-69.9886,75.04,83,20,9.22,few clouds
194,Bennington,US,42.8781,-73.1968,51.94,95,100,8.05,moderate rain
195,Bratsk,RU,56.1325,101.6142,30.69,68,100,14.67,light snow
196,Saint-Pierre,RE,-21.3393,55.4781,75.29,65,40,9.22,scattered clouds
197,Preobrazheniye,RU,42.9019,133.9064,52.27,35,0,16.13,clear sky
198,Derzhavinsk,KZ,51.1,66.3167,60.73,40,48,8.75,scattered clouds
199,Carnarvon,AU,-24.8667,113.6333,75.27,57,40,12.66,scattered clouds
200,Bemidji,US,47.4736,-94.8803,27.9,72,0,5.75,clear sky
201,Maymyo,MM,22.0333,96.4667,87.69,34,0,7.16,clear sky
202,Esperance,AU,-33.8667,121.9,58.84,57,87,6.58,light rain
203,Usogorsk,RU,63.4106,48.6872,33.15,90,100,4.59,light snow
204,Aklavik,CA,68.2191,-135.0107,29.16,90,100,7.09,overcast clouds
205,Osorno,CL,-40.5667,-73.15,42.26,96,100,5.3,light rain
206,Neiafu,TO,-18.65,-173.9833,77.68,94,75,4.61,moderate rain
207,Sirpur,IN,19.4833,79.6,101.25,23,3,7.4,clear sky
208,Airai,TL,-8.9266,125.4092,76.01,52,97,2.33,overcast clouds
209,Kodiak,US,57.79,-152.4072,45.5,64,12,2.84,few clouds
210,Carmarthen,GB,51.8555,-4.3054,49.89,82,97,7.36,overcast clouds
211,Taoudenni,ML,22.6783,-3.9836,72.66,28,0,10.98,clear sky
212,Huntsville,US,34.7304,-86.5861,52.05,59,0,13.0,clear sky
213,Vaasa,FI,63.096,21.6158,30.94,69,0,4.61,clear sky
214,Beringovskiy,RU,63.05,179.3167,32.47,99,100,7.29,overcast clouds
215,Tuktoyaktuk,CA,69.4541,-133.0374,14.0,85,75,8.05,broken clouds
216,Grand Gaube,MU,-20.0064,57.6608,75.6,77,14,7.0,few clouds
217,Biak,ID,-0.9131,122.8766,77.02,92,100,6.15,light rain
218,Shar,KZ,49.5886,81.0453,59.23,26,24,7.16,few clouds
219,Broome,US,42.2506,-75.833,45.66,73,100,8.99,overcast clouds
220,Kattivakkam,IN,13.2167,80.3167,88.07,80,7,12.03,clear sky
221,Nantucket,US,41.2835,-70.0995,55.51,93,100,14.97,overcast clouds
222,Sile,TR,41.1754,29.6133,52.57,79,6,4.18,clear sky
223,Jiuquan,CN,39.7432,98.5174,59.72,28,64,17.72,broken clouds
224,Bosaso,SO,11.2842,49.1816,83.73,63,12,8.77,few clouds
225,Teya,RU,60.3778,92.6267,35.13,83,66,2.82,broken clouds
226,Cam Ranh,VN,11.9214,109.1591,89.56,58,20,8.05,few clouds
227,Margate,GB,51.3813,1.3862,47.7,71,94,4.0,overcast clouds
228,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,72.82,98,100,1.28,overcast clouds
229,Pangnirtung,CA,66.1451,-65.7125,-9.85,76,8,8.77,clear sky
230,Trairi,BR,-3.2778,-39.2689,74.55,91,78,6.53,broken clouds
231,Tingi,TZ,-11.3,35.0333,62.15,96,100,4.03,overcast clouds
232,Guerrero Negro,MX,27.9769,-114.0611,61.7,82,12,13.56,few clouds
233,Vysokogornyy,RU,50.1167,139.15,28.9,93,100,14.36,light snow
234,Vilyuysk,RU,63.7553,121.6247,30.0,67,65,5.99,broken clouds
